fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda
2022-09-30,USD,660827000,228673000,158800000,158800000,22538000,31689000,432154000,99546000,None,60687000,60687000,112593000,None,60687000,None,38184000,None,345475000,95838000,26577000,None,None,37426000,249637000,116905000,147070000,8750000,None,272725000,4250000,102567000,315352000,None,20474000,189000,18927000,6854000,None,None,None,None,7982000,3596000,-707000,-5989000,None,-3577000,-2296000,None,None,None,None,1488000,1488000,None,None,None,None,-80000,None,981000,None,-3762000,77718000,149535000,71817000,71817000,-848000,29667000,None,78566000,None,-3594000,None,3594000,None,-2000,None,7982000,-4620000,-860000,None,-3760000,None,-1026000,6956000
2022-06-30,USD,662068000,230736000,157719000,157719000,1,31585000,431332000,100164000,None,64641000,64641000,112593000,None,64641000,None,41432000,None,346066000,95055000,26550000,None,None,38154000,251011000,117068000,148645000,8750000,None,274463000,2962000,102366000,316002000,None,24236000,189000,18907000,20136000,None,None,None,None,8119000,4344000,6844000,8729000,None,-4333000,-2227000,None,None,None,None,None,None,None,None,None,None,-10000,None,13576000,None,-110029000,77519000,149608000,72089000,72089000,149227000,29923000,None,73888000,None,-3390000,None,3390000,None,-6000,None,8119000,-145355000,-35332000,None,-110023000,None,-141965000,-133846000
2022-03-31,USD,771410000,224900000,144543000,144543000,None,38430000,546510000,100052000,None,82094000,82094000,243993000,None,82094000,None,41927000,None,348229000,93702000,11273000,None,None,37582000,254527000,111275000,150212000,8750000,None,270237000,16927000,96859000,423181000,None,134265000,189000,18879000,25255000,None,None,None,None,8148000,2965000,6644000,None,None,-279000,-3660000,None,None,None,None,None,None,None,None,None,None,-1444000,None,21316000,None,5333000,83049000,154747000,71698000,71698000,5993000,29589000,None,77056000,None,-3355000,None,3355000,None,-5000,None,8148000,6378000,1040000,None,5338000,None,5993000,14141000
2021-12-31,USD,725608000,202637000,122627000,122627000,None,41329000,522971000,180360000,None,85082000,85082000,243486000,None,None,None,38681000,None,309996000,83678000,13497000,None,None,22455000,226318000,83193000,151771000,8750000,None,243714000,25950000,69488000,415612000,None,128932000,187000,18854000,15686000,None,None,None,None,8271000,6015000,-6579000,-1871000,None,-5343000,-2203000,None,None,None,None,None,None,None,None,None,None,-12673000,None,8140000,None,9381000,86635000,154000000,67365000,67365000,10273000,27800000,None,69038000,None,-3110000,None,3110000,None,-4000,None,8271000,13387000,4002000,None,9385000,None,17597000,25868000
2021-09-30,USD,723187000,189908000,114887000,114887000,1,35269000,533279000,102565000,None,88936000,88936000,243766000,None,9668000,None,39752000,None,318749000,90129000,9066000,None,None,36502000,228620000,87296000,153336000,8750000,None,249382000,18571000,73420000,404438000,None,119551000,187000,18855000,-8319000,None,None,None,None,4386000,2785000,239000,583000,None,-328294000,161147000,None,None,None,None,None,None,None,None,None,None,-220000,None,-175466000,None,-267000,55704000,98248000,42544000,42544000,1262000,26598000,None,54442000,None,-1305000,None,1305000,None,None,None,4386000,-43000,224000,None,-267000,None,1262000,5648000
2021-06-30,USD,468916000,350467000,316953000,316953000,None,24048000,118449000,74998000,None,None,None,26563000,None,9668000,9668000,9466000,None,65791000,54330000,3047000,None,None,4286000,11461000,9376000,None,None,None,9376000,25372000,7233000,403125000,None,119818000,187000,18840000,-2328000,None,None,None,None,2524000,1500000,-5507000,-1355000,None,-1500000,-35000,None,None,None,None,None,None,None,None,None,None,-39000,None,-3863000,None,531000,47620000,78014000,30394000,30394000,2149000,25457000,None,45471000,None,24000,24000,24000,None,-822000,None,2524000,1999000,646000,None,531000,None,2149000,4673000
2021-03-31,USD,463199000,343556000,320816000,320816000,None,13442000,119643000,67136000,None,None,None,26563000,None,10490000,10490000,9298000,None,62555000,50490000,2681000,None,None,4330000,12065000,10004000,None,None,None,10004000,20720000,7839000,400644000,None,119287000,187000,16422000,11226000,None,None,None,None,2651000,1528000,4210000,-3920000,None,-1528000,83432000,None,None,None,None,None,None,None,None,None,None,-2773000,None,93130000,None,8107000,56222000,88541000,32319000,32319000,10645000,23524000,None,45577000,None,114000,None,114000,None,-5000,None,2651000,10751000,2639000,None,8112000,None,10645000,13296000
2020-12-31,USD,371018000,251810000,227686000,227686000,None,17652000,119208000,68434000,None,3721000,3721000,26563000,None,10495000,10495000,6472000,None,64093000,55058000,3757000,None,None,2392000,9035000,8847000,None,None,None,8847000,26627000,6455000,306925000,None,111180000,148000,15084000,77000,None,None,None,None,3029000,755000,-8092000,3717000,None,-400000,13882000,None,None,None,None,None,None,None,None,None,None,13882000,None,-323000,None,7071000,54806000,85909000,31103000,31103000,9824000,22729000,None,44982000,None,90000,90000,90000,None,-5000,None,3029000,9805000,2729000,None,7076000,None,9933000,12962000
2020-09-30,USD,370199000,247632000,228009000,228009000,None,12060000,122567000,70930000,None,None,None,26563000,None,10500000,10500000,7563000,None,72155000,59793000,4489000,None,None,4948000,12362000,9471000,None,None,None,9471000,24865000,6997000,298044000,None,104109000,148000,15011000,12988000,None,None,None,None,3226000,1278000,-2638000,3828000,None,-866000,-151000,None,None,None,None,None,None,None,None,None,None,-151000,None,11971000,None,2642000,48049000,79133000,31084000,31084000,3726000,22574000,None,44323000,None,121000,None,121000,None,-2000,None,3226000,3429000,785000,None,2644000,None,4144000,7370000
2020-06-30,USD,361701000,234987000,216038000,216038000,1,9523000,126714000,74079000,None,None,None,26563000,None,10502000,None,9426000,None,68090000,53852000,5034000,None,None,4758000,14238000,10656000,None,None,None,10656000,23277000,8277000,293611000,None,101467000,148000,14948000,20223000,None,None,None,None,3391000,1024000,-425000,1415000,None,-1024000,-151000,None,None,None,None,None,None,None,None,None,None,0,None,19199000,None,6689000,51383000,82127000,30744000,30744000,9199000,21737000,None,42184000,None,179000,179000,179000,None,1000,None,3391000,9220000,2532000,None,6688000,None,9357000,12748000
2020-03-31,USD,345259000,215505000,196839000,196839000,1,9177000,129754000,76366000,None,4043000,4043000,26563000,None,10501000,None,9489000,None,59910000,45751000,5006000,None,None,4664000,14159000,11222000,None,None,None,11222000,16107000,8890000,285349000,None,94778000,148000,15116000,11522000,None,None,None,None,3338000,1869000,4828000,-3258000,None,-1869000,-15554000,None,None,None,None,None,None,None,None,None,None,-15554000,None,-5901000,None,2420000,45386000,74616000,29230000,29230000,2859000,21003000,None,42527000,None,702000,702000,702000,None,-1000,None,3338000,3395000,974000,None,2421000,None,3025000,6363000
2019-12-31,USD,354897000,222909000,202740000,202740000,1,13082000,131988000,78495000,None,4043000,4043000,26563000,None,10502000,None,7087000,None,58164000,45278000,3546000,None,None,2283000,12886000,11778000,None,None,None,11778000,22023000,9495000,296733000,None,105961000,152000,15563000,6434000,None,None,None,None,3838000,3104000,-3383000,-1662000,None,-3104000,-10693000,None,None,None,None,None,None,None,None,None,None,-10693000,None,-7363000,None,5719000,46373000,74381000,28008000,28008000,8641000,18873000,None,37732000,None,701000,701000,701000,None,None,None,3838000,9310000,3591000,None,5719000,None,8673000,12511000
2019-09-30,USD,361106000,230010000,210103000,210103000,1,13591000,131096000,88982000,None,None,None,26563000,None,10502000,None,6316000,None,60328000,45697000,3965000,None,None,4002000,14631000,10669000,None,None,None,10669000,17122000,8668000,300778000,None,110931000,156000,16121000,8216000,None,None,None,None,3764000,1194000,-1529000,2911000,None,-1194000,-17752000,None,None,None,None,None,None,None,None,None,None,-17752000,None,-10730000,None,-1638000,40620000,67888000,27268000,27268000,-1038000,22021000,None,41658000,None,1019000,1019000,1019000,None,17000,None,3764000,-1894000,-239000,None,-1638000,None,-1038000,2726000
2019-06-30,USD,376084000,239951000,220833000,220833000,1,11175000,136133000,81666000,None,None,None,28044000,None,10485000,None,7943000,None,57628000,42191000,4923000,None,None,3926000,15437000,11145000,None,None,None,11145000,14288000,9182000,318456000,None,130314000,163000,16653000,15825000,None,None,None,None,3943000,1372000,7690000,-2903000,None,-1372000,-9548000,None,None,None,None,None,None,None,None,None,None,-9548000,None,4905000,None,4921000,41835000,70560000,28725000,28725000,5682000,18123000,None,36153000,None,1135000,1135000,1135000,None,6000,None,3943000,6813000,1898000,None,4921000,None,5686000,9629000
2019-03-31,USD,377747000,238444000,215928000,215928000,1,15824000,139303000,84156000,None,None,None,28044000,None,10479000,None,6692000,None,56294000,40530000,2403000,None,None,3850000,15764000,11613000,9688000,1925000,None,11613000,13254000,9688000,321453000,None,134941000,166000,16662366,7895000,None,None,None,None,4051000,1585000,-44000,3868000,None,-1585000,-2513000,None,None,None,None,None,None,None,None,None,None,-2513000,None,3797000,None,1011000,45526000,73441000,27915000,27915000,7363000,19065000,None,38163000,None,1053000,1053000,1053000,None,-1487000,None,4051000,2435000,-63000,None,2498000,None,13344000,17395000
2018-12-31,USD,370958000,232570000,212131000,212131000,1,14957000,138388000,86881000,None,3721000,3721000,33899000,None,11966000,None,5482000,None,49692000,44328000,9110000,None,None,None,5364000,None,None,None,None,None,16908000,None,321266000,None,133930000,164000,16656000,18624000,None,None,None,None,4343000,4081000,-785000,1688000,None,-4081000,-8000,None,None,None,None,None,None,None,None,None,None,-8000,None,14535000,None,9093000,48489000,76930000,28441000,28441000,11432000,18676000,0,37057000,None,None,None,987000,None,None,None,4343000,12419000,3294000,None,9125000,None,11432000,15775000
