fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda
2015-06-30,USD,291442000,123531000,103724000,103724000,0,5730000,167911000,108240000,None,38634000,38634000,38634000,None,12302000,0,14077000,None,59102000,42615000,7051000,None,None,None,16487000,None,0,None,None,None,14190000,None,232340000,0,61705000,166000,16922637,15585000,None,None,None,None,4698000,8075000,3511000,904000,None,-8593000,-15605000,None,None,None,None,0,0,None,None,None,None,-15390000,None,-8613000,None,7073000,50567000,80263000,29696000,29696000,11576000,18141000,0,38991000,None,None,None,31000,None,14000,None,4698000,11607000,4548000,None,7059000,None,11576000,16274000
2015-03-31,USD,300507000,136488000,112337000,112337000,1,9241000,164019000,104278000,None,38634000,38634000,38634000,None,12013000,0,14910000,None,61040000,45009000,6251000,None,None,None,16031000,None,0,None,None,None,15017000,None,239467000,0,70017000,171000,17353529,7146000,None,None,None,None,4589000,5426000,-3111000,-372000,None,-5426000,-5017000,None,None,None,None,0,0,None,None,None,None,-4668000,None,-3297000,None,8793000,55184000,85444000,30260000,30260000,14471000,19105000,0,40713000,None,None,None,10000,None,-38000,None,4589000,14481000,5650000,None,8831000,None,14471000,19060000
2014-12-31,USD,297904000,136218000,115634000,115634000,1,6130000,161686000,102424000,None,45442000,45442000,38634000,None,12051000,0,14454000,None,63686000,48250000,11029000,None,None,None,15436000,None,0,None,None,None,31175000,None,234218000,0,64392000,172000,17350000,13860000,None,None,None,None,4220000,9368000,494000,-3837000,None,-2968000,-3897000,None,None,None,None,0,0,None,None,None,None,-3955000,None,6995000,None,11797000,59703000,91297000,31594000,31594000,18625000,19626000,0,41078000,None,None,None,84000,None,-139000,None,4220000,18709000,6773000,None,11936000,None,18625000,22845000
2014-09-30,USD,292511000,130266000,108639000,108639000,0,6624000,162245000,96188000,None,38634000,38634000,38634000,None,18590000,0,15003000,None,67625000,53047000,11888000,None,None,None,14578000,None,0,None,None,None,13896000,None,224886000,0,56544000,173000,17355405,24945000,None,None,None,None,4054000,6137000,1847000,3999000,None,-6147000,40000,None,None,None,None,0,0,None,None,None,None,94000,None,18838000,None,8842000,54081000,84707000,30626000,30626000,14647000,17432000,0,39434000,None,None,None,98000,None,-26000,None,4054000,14745000,5877000,None,8868000,None,14647000,18701000
2014-06-30,USD,272739000,112999000,89801000,89801000,1,8471000,159740000,94049000,None,38148000,38148000,38148000,None,18606000,0,14727000,None,58022000,44090000,11315000,None,None,None,13932000,None,0,None,None,None,9559000,None,214717000,0,47702000,173000,17472602,9776000,None,None,None,None,3958000,5426000,4875000,-3928000,None,-6936000,-12719000,None,None,None,None,0,0,None,None,None,None,-13109000,None,-9879000,None,9802000,55266000,85463000,30197000,30197000,15835000,18491000,0,39431000,None,None,None,98000,None,42000,None,3958000,15933000,6173000,None,9760000,None,15835000,19793000
2014-03-31,USD,282257000,125843000,99680000,99680000,1,13346000,156414000,91827000,None,38148000,38148000,38148000,None,17054000,0,12817000,None,65933000,52344000,12411000,None,None,1928000,13589000,None,0,None,None,None,11526000,None,216324000,0,51005000,176000,17805473,12449000,None,None,None,None,3889000,4740000,-3826000,-2268000,None,-5240000,-2349000,None,None,None,None,0,0,None,None,None,None,-2647000,None,4860000,None,10436000,57205000,88553000,31348000,31348000,16725000,19524000,0,40480000,None,None,None,81000,None,-43000,None,3889000,16806000,6327000,None,10479000,None,16725000,20614000
2013-12-31,USD,271655000,116585000,94820000,94820000,0,9520000,155070000,90733000,None,46097000,46097000,38148000,None,16597000,0,12245000,None,64586000,54258000,11563000,None,None,None,10328000,None,0,None,None,None,39263000,None,207069000,0,41980000,176000,17805473,5215000,None,None,None,None,3613000,5605000,-921000,316000,None,-49961000,-4214000,None,None,None,None,0,0,None,None,None,None,-6190000,None,-48960000,None,8997000,53904000,82937000,29033000,29033000,14517000,18660000,0,39387000,None,None,None,80000,None,40000,None,3613000,14596000,5639000,None,8957000,None,14517000,18130000
2013-09-30,USD,266737000,160817000,143780000,143780000,0,7004000,105920000,88097000,None,0,0,7004000,None,16557000,0,10033000,None,65498000,55134000,12179000,None,None,None,10364000,None,0,None,None,None,14193000,None,201239000,0,39171000,177000,17876747,19559000,None,None,None,None,3376000,4204000,2192000,-3538000,None,-4204000,309000,None,None,None,None,0,0,None,None,None,None,-439000,None,15664000,None,10911000,53638000,81777000,28139000,28139000,17507000,16766000,0,36131000,None,None,None,77000,None,-61000,None,3376000,17584000,6612000,None,10972000,None,17507000,20883000
2013-06-30,USD,250425000,145273000,128116000,128116000,1,8023000,105152000,87344000,None,0,0,8023000,None,16618000,0,9134000,None,61455000,50948000,8705000,None,None,782000,10507000,None,0,None,None,None,15651000,None,188970000,0,35652000,176000,17835623,14037000,None,None,None,None,3312000,5049000,943000,5503000,None,-5049000,-1422000,None,None,None,None,0,0,None,None,None,None,-2024000,None,7566000,None,10750000,53718000,80925000,27207000,27207000,17203000,17158000,0,36515000,None,None,None,88000,None,2000,None,3312000,17291000,6543000,None,10748000,None,17203000,20515000
2013-03-31,USD,246740000,143316000,120550000,120550000,5113000,12597000,103424000,85607000,None,0,0,12597000,None,16616000,0,10169000,None,68090000,55977000,15247000,None,None,None,12113000,None,0,None,None,None,11657000,None,178650000,0,19912000,177000,17999961,20603000,None,None,None,None,3207000,6035000,-102000,3242000,None,-10035000,-4919000,None,None,None,None,0,0,None,None,None,None,-5770000,None,5649000,None,11376000,55435000,83840000,28405000,28405000,18210000,17479000,0,37225000,None,None,None,64000,None,-48000,None,3207000,18274000,6850000,None,11424000,None,18210000,21417000
2012-12-31,USD,237603000,141074000,114901000,114901000,0,15381000,96529000,82840000,None,0,0,0,None,12664000,0,10792000,None,66450000,55070000,17251000,None,None,None,11380000,None,0,None,None,None,31317000,None,171153000,0,13526000,178000,18019000,18428000,None,None,None,None,3015000,6460000,10239000,-6064000,None,-6460000,1372000,None,None,None,None,0,0,None,None,None,None,-2733000,None,13340000,None,13175000,56346000,86000000,29654000,29654000,21422000,15424000,0,34924000,None,None,None,139000,None,-107000,None,3015000,21540000,8279000,None,13261000,None,21422000,24437000
2012-09-30,USD,229125000,135888000,101561000,101561000,0,23227000,93237000,79479000,None,0,0,0,None,12750000,0,11100000,None,73495000,63832000,19012000,None,None,None,9663000,None,0,None,None,None,16202000,None,155630000,-12672000,15751000,181000,17950524,11798000,None,None,None,None,2760000,9662000,-14310000,1740000,None,-22412000,-4538000,None,None,None,None,0,0,None,None,None,None,-4791000,None,-15152000,None,10824000,50686000,77122000,26436000,26436000,17518000,15978000,0,33168000,None,None,None,30000,None,None,None,2760000,17548000,6724000,None,10824000,None,17518000,20278000
2012-06-30,USD,210984000,137402000,116713000,116713000,0,10541000,73582000,72589000,None,0,0,0,None,None,0,10148000,None,62605000,53086000,15185000,None,None,None,9519000,None,0,None,None,None,13797000,None,148379000,-7881000,4926000,180000,18151491,7849000,None,None,None,None,2715000,12534000,-1367000,-3404000,None,-12534000,-4428000,None,None,None,None,0,0,None,None,None,None,-4480000,None,-9113000,None,9241000,48323000,74572000,26249000,26249000,14992000,16141000,0,33331000,None,None,None,14992000,None,None,None,2715000,14958000,5717000,None,9241000,None,14992000,17707000
2012-03-31,USD,208814000,144608000,125826000,125826000,0,9093000,64206000,62770000,None,0,0,0,None,None,0,9689000,None,66194000,56801000,13255000,None,None,1688000,9393000,None,0,None,None,None,14780000,None,142620000,-3396000,-4315000,180000,18233669,14849000,None,None,None,None,2656000,6686000,-1601000,3014000,None,-6686000,-1343000,None,None,None,None,0,0,None,None,None,None,-3857000,None,6820000,None,9083000,47969000,75822000,27853000,27853000,14870000,16072000,0,33099000,None,None,None,0,None,21000,None,2656000,14891000,5808000,None,9083000,None,14870000,17526000
2011-12-31,USD,198891000,138722000,119006000,119006000,0,11102000,60169000,58759000,None,0,0,0,None,None,0,8614000,None,65058000,56688000,16318000,None,None,None,8370000,None,0,None,None,None,36717000,None,133833000,0,-13398000,178000,18233669,22938000,None,None,None,None,2500000,11238000,-2080000,-79631000,None,-11238000,-10013000,None,None,None,None,0,0,None,None,None,None,1000,None,11700000,None,12985000,49515000,75667000,26152000,26152000,19843000,14769000,0,29672000,None,None,None,0,None,22000,None,2500000,19865000,6880000,None,12985000,None,19843000,22343000
2011-09-30,USD,178712000,127236000,107306000,107306000,0,12276000,51476000,50106000,None,0,0,0,None,None,0,7654000,None,58662000,49970000,10880000,None,None,None,8692000,None,0,None,None,None,11974000,None,120050000,0,-26383000,178000,18253426,21826000,None,None,None,None,2404000,7086000,-1114000,-72851000,None,-7086000,-1937000,None,None,None,None,0,0,None,None,None,None,-2843000,None,12803000,None,10939000,41303000,65251000,23948000,23948000,15034000,12160000,0,26269000,None,None,None,0,None,35000,None,2404000,15069000,4130000,None,10939000,None,15034000,17438000
2011-06-30,USD,158546000,111654000,94503000,94503000,0,10605000,46892000,45197000,None,0,0,0,None,None,0,6546000,None,48351000,41027000,8831000,None,None,None,7324000,None,0,None,None,None,9561000,None,110195000,-26645000,-7844000,187000,18345775,5799000,None,None,None,None,2242000,3251000,-518000,-75292000,None,-3251000,-4575000,None,None,None,None,0,0,None,None,None,None,-5361000,None,-2027000,None,8976000,37784000,60795000,23011000,23011000,14911000,10910000,0,22873000,None,None,None,0,None,25000,None,2242000,14936000,5960000,None,8976000,None,14911000,17153000
2011-03-31,USD,158410000,112627000,96530000,96530000,0,9890000,45783000,44203000,None,0,0,0,None,None,0,6207000,None,53398000,46468000,10162000,None,None,4423000,6930000,None,0,None,None,None,9444000,None,105012000,-21284000,-16820000,186000,18382313,19875000,None,None,None,None,2093000,3657000,536000,-58041000,None,-3657000,-1040000,None,None,None,None,0,0,None,None,None,None,-1542000,None,15178000,None,7857000,36559000,58664000,22105000,22105000,13071000,10511000,0,23488000,None,None,None,0,None,27000,None,2093000,13098000,5241000,None,7857000,None,13071000,15164000
2010-12-31,USD,141839000,98003000,81352000,81352000,0,11049000,43836000,42415000,None,0,0,0,None,None,0,5602000,None,44539000,37586000,9422000,None,None,None,6953000,None,0,None,None,None,9349000,None,97300000,-19966000,-24677000,186000,18382313,14242000,None,None,None,None,1844000,8680000,-1253000,-61087000,None,-8680000,-10806000,None,None,None,None,0,0,None,None,None,None,-10999000,None,-5244000,None,9607000,35889000,56314000,20425000,20425000,15831000,8768000,0,20058000,None,None,None,0,None,26000,None,1844000,15857000,6250000,None,9607000,None,15831000,17675000
2010-09-30,USD,139827000,102640000,86596000,86596000,0,10569000,37187000,35473000,None,0,0,0,None,None,0,5475000,None,41982000,36210000,6551000,None,None,None,5772000,None,0,None,None,None,10110000,None,97845000,-9175000,-34283000,186000,18931197,14682000,None,None,None,None,1682000,5612000,674000,-61610000,None,-5612000,-8637000,None,None,None,None,0,0,None,None,None,None,-9175000,None,433000,None,5588000,28812000,48295000,19483000,19483000,9315000,8194000,0,19497000,None,None,None,0,None,28000,None,1682000,9343000,3755000,None,5588000,None,9315000,10997000
2010-06-30,USD,134659000,101517000,86163000,86163000,0,10730000,33142000,31620000,None,0,0,0,None,None,0,4624000,None,34511000,28912000,5449000,None,None,None,5599000,None,0,None,None,None,7518000,None,100148000,0,-39872000,185000,19032440,3969000,None,None,None,None,1568000,4893000,-1793000,-77968000,None,-4893000,1553000,None,None,None,None,0,0,None,None,None,None,-1000,None,629000,None,7025000,28878000,46254000,17376000,17376000,11739000,7451000,0,17139000,None,None,None,0,None,35000,None,1568000,11774000,4749000,None,7025000,None,11739000,13307000
2010-03-31,USD,127715000,97916000,85534000,85534000,0,7769000,29799000,28385000,None,0,0,0,None,None,0,4613000,None,36925000,32100000,4487000,None,None,4679000,4825000,None,0,None,None,None,8421000,None,90790000,0,-46897000,184000,18979621,14185000,None,None,None,None,1408000,3842000,613000,-59875000,None,-3842000,325000,None,None,None,None,0,0,None,None,None,None,-65000,None,10668000,None,7648000,29286000,47311000,18025000,18025000,13137000,7632000,0,16149000,None,None,None,0,None,22000,None,1408000,13159000,5511000,None,7648000,None,13137000,14545000
