date,company_name,currency,total_assets,current_assets,total_liabilities,current_liabilities,total_debt,shareholder_equity,dividends_paid,net_income,operation_cash_flow,revenue,working_capital
2012-12-31,YDUQS PARTICIPACOES S.A.,BRL,1820661804.297812,750737187.3317343,1820661804.297812,283878799.7454599,821549757.697391,1038281364.7266142,0.0,0.0,0.0,0.0,953745000.0
2013-03-31,YDUQS PARTICIPACOES S.A.,BRL,954515199.6820983,591728591.297437,954515199.6820983,105039241.00933838,276988873.4353269,681172263.0637791,0.0,33102523.34591695,11165805.68249553,205272203.45718262,979803000.0
2013-06-30,YDUQS PARTICIPACOES S.A.,BRL,889363431.1512417,538760270.8803612,889363431.1512417,86949887.13318285,247402257.33634314,646134537.2460498,0.0,72220316.02708805,31476297.968397293,587077200.9029346,1000760000.0
2013-09-30,YDUQS PARTICIPACOES S.A.,BRL,940321162.6446577,575432403.3372208,940321162.6446577,102216291.37884632,251160850.45303667,685498788.9118148,0.0,128243025.02915582,64680183.00888131,777424867.6774019,1054988000.0
2013-12-31,COGNA EDUCAÇÃO S.A.,BRL,5225228864.2186165,1069699829.205807,5225228864.2186165,613695986.3364645,707460717.3356105,3354426558.4970107,0.0,0.0,0.0,0.0,1067961000.0
2014-03-31,COGNA EDUCAÇÃO S.A.,BRL,1911694660.5374823,470553394.6251768,1911694660.5374823,197412482.31966054,250793847.24186704,1281512553.0410185,0.0,121444925.74257426,80436704.38472418,297933610.3253182,617954000.0
2014-06-30,COGNA EDUCAÇÃO S.A.,BRL,1978236523.002861,486795948.95317674,1978236523.002861,198786956.71919703,181653571.91516417,1413175439.3932512,-42234888.05122848,368989054.90712565,202155411.2357509,964603751.3056904,634167000.0
2014-09-30,COGNA EDUCAÇÃO S.A.,BRL,6201803787.136794,597839128.3055828,6201803787.136794,417288197.8452497,527557541.625857,4557850555.011427,-256361002.28534114,395696212.86320597,351802970.9435194,1505804358.4720862,442422000.0
2013-12-31,SER EDUCACIONAL S.A.,BRL,1029075576.4304013,520593509.8206661,1029075576.4304013,118414175.91801877,276266438.941076,578180187.8736123,0.0,0.0,0.0,0.0,941904000.0
2014-03-31,SER EDUCACIONAL S.A.,BRL,386493546.6760962,193024222.06506366,386493546.6760962,47382867.75106082,93412305.51626591,225456152.75813296,0.0,25948550.212164074,21552333.804809052,68303571.42857143,329499000.0
