date,company_name,currency,total_assets,current_assets,total_liabilities,current_liabilities,total_debt,shareholder_equity,dividends_paid,net_income,operation_cash_flow,revenue,working_capital
2016-09-30,STRA,USD,286504000,152702000,113285000,61654000,2825000.0,173219000,0.0,2878000,7682000,102156000,91048000
2016-06-30,STRA,USD,277551000,145781000,109613000,59540000,2896000.0,167938000,0.0,7786000,7745000,108487000,86241000
2016-03-31,STRA,USD,277696000,144494000,119579000,62488000,3035000.0,158117000,0.0,12420000,14680000,111166000,82006000
2015-12-31,STRA,USD,248434000,138798000,105578000,57591000,3125000.0,142856000,11416000.0,13041000,23077000,113660000,81207000
2015-09-30,STRA,USD,230273000,119726000,103096000,57535000,2678000.0,127177000,0.0,3723000,10365000,99142000,62191000
2015-06-30,STRA,USD,336003000,225299000,215347000,60474000,115625000.0,120656000,0.0,11874000,13064000,109750000,164825000
2015-03-31,STRA,USD,327778000,217583000,221415000,63558000,117188000.0,106363000,0.0,11385000,30392000,111885000,154025000
2014-12-31,STRA,USD,307815000,196651000,215083000,56335000,118750000.0,92732000,11416000.0,12943000,15437000,116070000,140316000
2014-09-30,STRA,USD,295484000,182680000,217766000,58761000,119532000.0,77718000,0.0,4953000,16916000,100756000,123919000
2014-06-30,STRA,USD,282193000,166483000,212230000,49256000,120313000.0,69963000,0.0,13677000,11980000,112747000,117227000
2014-03-31,STRA,USD,277614000,157776000,223447000,55574000,121094000.0,54167000,0.0,14783000,33217000,116468000,102202000
2013-12-31,STRA,USD,254266000,127340000,215364000,45158000,121875000.0,38902000,47328000.0,-18957000,11932000,124084000,82182000
2013-09-30,STRA,USD,240951000,118316000,183986000,43049000,122656000.0,56965000,0.0,3149000,20583000,110031000,75267000
2013-06-30,STRA,USD,229822000,102259000,178867000,35961000,123438000.0,50955000,0.0,15002000,20185000,131980000,66298000
2013-03-31,STRA,USD,216027000,84995000,183704000,39417000,124219000.0,32323000,0.0,17231000,31393000,137506000,45578000
2012-12-31,STRA,USD,227792000,89655000,186804000,43024000,125000000.0,40988000,11719000.0,16627000,24816000,141933000,46631000
2012-09-30,STRA,USD,231614000,91937000,166621000,71806000,102500000.0,64993000,11872000.0,4102000,14585000,124260000,20131000
2012-06-30,STRA,USD,220143000,84930000,150896000,59199000,100000000.0,69247000,11872000.0,21212000,6179000,146254000,25731000
2012-03-31,STRA,USD,224234000,89389000,168208000,83890000,92500000.0,56026000,11865000.0,23989000,36482000,149532000,5499000
2011-12-31,STRA,USD,231133000,94668000,188840000,77184000,117500000.0,42293000,11944000.0,26671000,31614000,155824000,17484000
2011-09-30,STRA,USD,224205000,91056000,180455000,82889000,105000000.0,43750000,11978000.0,13935000,35316000,135865000,8167000
2011-06-30,STRA,USD,235178000,108735000,59174000,46530000,115000000.0,176004000,12009000.0,29647000,20261000,163789000,62205000
2011-03-31,STRA,USD,237617000,108220000,164314000,71166000,108447000.0,73303000,13174000.0,35791000,67172000,171956000,37054000
2010-06-30,STRA,USD,442625000,331851000,215464000,203295000,12169000.0,227161000,10427000.0,35657000,24747000,159283000,128556000
2010-03-31,STRA,USD,437051000,334592000,231251000,219078000,12173000.0,205800000,10470000.0,36379000,63107000,157901000,115514000
