date,company_name,currency,total_assets,current_assets,total_liabilities,current_liabilities,total_debt,shareholder_equity,dividends_paid,net_income,operation_cash_flow,revenue,working_capital,country,debt_to_assets,debt_to_equity,roa,debt_change,log_total_assets
2019-03-31,SER EDUCACIONAL S.A.,BRL,703953183.9531839,300833140.8331408,703953183.9531839,118730268.73026872,103004543.004543,391836708.5033751,0.0,14396961.06362773,4258104.258104258,78068838.06883806,709491000.0,Brazil,0.1463230018026217,0.2628761950302463,0.020451588815578386,-202917711.91260117,20.37222241184459
2019-06-30,SER EDUCACIONAL S.A.,BRL,678360215.0537635,244529439.39868465,678360215.0537635,119680290.21818562,99026516.33782232,346090406.09666985,0.0,45438981.10449943,5014093.329157532,252994571.4583986,478372000.0,Brazil,0.14597925134800832,0.28612904198841693,0.06698355843421354,-3978026.6667206883,20.335188995459536
2019-09-30,SER EDUCACIONAL S.A.,BRL,601367260.6753446,196039194.9661367,601367260.6753446,90164753.350305,65027138.67140593,316324991.5942168,0.0,39092175.41668668,33096690.52307988,291702051.01109564,440840000.0,Brazil,0.10813215637708554,0.2055706643464423,0.06500549327009517,-33999377.66641639,20.21471638851899
2019-12-31,SER EDUCACIONAL S.A.,BRL,1905031636.932086,479798268.0330513,1905031636.932086,302552542.1205429,183796431.8503263,974036376.2685788,0.0,0.0,0.0,0.0,714318000.0,Brazil,0.09647946432339412,0.18869565483214218,0.0,118769293.17892037,21.367764452700605
2020-03-31,SER EDUCACIONAL S.A.,BRL,477491006.3292357,108229930.1667917,477491006.3292357,63080356.28402685,39359188.93441834,254949693.1571151,0.0,3225409.28416152,-1286239.202785633,59353609.9728747,234692000.0,Brazil,0.08242917335133998,0.15438021692445372,0.00675491106933554,-144437242.91590795,19.984055882795083
2020-06-30,SER EDUCACIONAL S.A.,BRL,552677247.3243964,207090623.51609012,552677247.3243964,66277897.5052051,216587463.92957592,248310260.4375936,0.0,23048179.128465503,13278664.572451329,181642619.71728092,771006000.0,Brazil,0.3918877879958191,0.8722453254564952,0.04170278266392478,177228274.99515757,20.13028474954469
2020-09-30,SER EDUCACIONAL S.A.,BRL,519375365.6850056,191861846.42116275,519375365.6850056,61321430.471090935,207136752.8944522,236098650.73314303,0.0,2752788.0711334907,23204907.714402225,211069661.8854276,736261000.0,Brazil,0.3988189786807832,0.8773313708114927,0.005300189906971869,-9450711.035123706,20.068137427660393
2020-12-31,SER EDUCACIONAL S.A.,BRL,1784887704.239718,624871923.173149,1784887704.239718,259662439.13704503,653538230.5960239,823590962.4526086,0.0,0.0,0.0,0.0,1897665000.0,Brazil,0.36615089511998283,0.7935228291600275,0.0,446401477.7015717,21.302621339408972
2021-03-31,SER EDUCACIONAL S.A.,BRL,553233626.4855092,173667035.30113924,553233626.4855092,81410114.62776695,195476152.86042795,255683992.4868784,0.0,5278143.48657995,6765671.353590675,53842399.98595678,525560000.0,Brazil,0.3533338240884171,0.7645224519499777,0.009540532668106356,-458062077.73559594,20.131290941311548
2021-06-30,SER EDUCACIONAL S.A.,BRL,651353566.8586053,182130318.29814455,651353566.8586053,111563099.80806142,219935820.537428,293178182.9814459,0.0,16287587.971849008,19947816.69865643,215536228.4069098,352949000.0,Brazil,0.3376596547987758,0.7501779917619138,0.025005755400100065,24459667.677000046,20.29456316619419
2021-09-30,SER EDUCACIONAL S.A.,BRL,583710928.8813709,147194050.1581231,583710928.8813709,100646833.8604104,179285136.42715305,268364896.66838276,0.0,7761270.868573951,33479627.85908656,246477347.9443995,253161000.0,Brazil,0.30714712978003816,0.668064782886619,0.013296428907794691,-40650684.11027494,20.184916433454916
2021-12-31,SER EDUCACIONAL S.A.,BRL,1662712055.7716086,385599383.5014964,1662712055.7716086,278897471.2808473,468895499.91935337,786614634.6708722,0.0,0.0,0.0,0.0,595386000.0,Brazil,0.28200643538472137,0.596093028596581,0.0,289610363.4922003,21.231715874704
2022-03-31,SER EDUCACIONAL S.A.,BRL,703736384.3620706,129840834.24807905,703736384.3620706,119566832.72819388,244225702.94688848,304751963.1850038,0.0,-3867052.267162037,10665583.044836614,80260491.42953645,48670000.0,Brazil,0.3470414609417651,0.8013917298331822,-0.00549502960638802,-224669796.9724649,20.37191438996575
2022-06-30,SER EDUCACIONAL S.A.,BRL,628919311.1085653,119434834.0779776,628919311.1085653,95136136.25081149,214025279.7189445,267931989.15492415,0.0,-18426127.467827547,17417993.66097682,249865200.29022032,127262000.0,Brazil,0.3403064207739028,0.7988045040608809,-0.02929807869208009,-30200423.227943987,20.259513525209528
2022-09-30,SER EDUCACIONAL S.A.,BRL,643157047.7247503,143221975.58268592,643157047.7247503,99396411.3947466,240316130.2256752,252297817.2401036,0.0,-25176100.62893082,21932852.386237517,300360525.3422124,236921000.0,Brazil,0.37365077639407673,0.9525097476248642,-0.03914456153126903,26290850.506730705,20.281899494564307
2022-12-31,SER EDUCACIONAL S.A.,BRL,1950553180.8859327,432790439.1328516,1950553180.8859327,317548254.7775584,759938854.9193996,711620057.1198559,0.0,0.0,0.0,0.0,601230000.0,Brazil,0.3896017101026893,1.067899713219305,0.0,519622724.6937244,21.3913788517974
2023-03-31,SER EDUCACIONAL S.A.,BRL,663442655.2226466,142851096.49986222,663442655.2226466,108558210.95318714,248504665.5380133,238036733.72967443,0.0,-5581322.099295248,17060711.051616207,83575534.46986103,174201000.0,Brazil,0.3745684176044076,1.043976119333862,-0.008412666950728691,-511434189.3813863,20.312952980303855
2023-06-30,SER EDUCACIONAL S.A.,BRL,722454239.8206948,164438633.62802476,722454239.8206948,123066865.8946582,258707923.4632466,257452787.1165899,0.0,7141908.438135559,23942431.41161333,298145726.97463995,199354000.0,Brazil,0.35809593079203894,1.0048752097839528,0.009885620492597707,10203257.925233305,20.39816464005675
